# Logfile created on 2024-03-17 11:07:14 +0100 by logger.rb/v1.6.0
I, [2024-03-17T11:08:02.890689 #77396]  INFO -- : 7-powers-en; 0.001421; 9 chapters
I, [2024-03-17T11:08:02.893666 #77396]  INFO -- : 7-strategies-for-wealth-and-happiness-en; 0.002915; 9 chapters
I, [2024-03-17T11:08:02.894873 #77396]  INFO -- : 8-secrets-to-powerful-manifesting-en; 0.001174; 10 chapters
I, [2024-03-17T11:08:02.895919 #77396]  INFO -- : 80-slash-20-internet-lead-generation-en; 0.001004; 8 chapters
I, [2024-03-17T11:08:02.898004 #77396]  INFO -- : 80-slash-20-sales-and-marketing-en; 0.000763; 6 chapters
I, [2024-03-17T11:08:02.898840 #77396]  INFO -- : a-better-world-inc-en; 0.000816; 10 chapters
I, [2024-03-17T11:08:02.899839 #77396]  INFO -- : a-bigger-prize-en; 0.000981; 8 chapters
I, [2024-03-17T11:08:02.900780 #77396]  INFO -- : a-biography-of-loneliness-en; 0.000925; 10 chapters
I, [2024-03-17T11:08:02.902213 #77396]  INFO -- : a-bone-to-pick-en; 0.001417; 8 chapters
I, [2024-03-17T11:08:02.903056 #77396]  INFO -- : a-brief-history-of-everyone-who-ever-lived-en; 0.000827; 10 chapters
I, [2024-03-17T11:08:02.906295 #77396]  INFO -- : a-brief-history-of-motion-en; 0.00321; 11 chapters
I, [2024-03-17T11:08:02.908802 #77396]  INFO -- : a-brief-history-of-thought-en; 0.002398; 9 chapters
I, [2024-03-17T11:08:02.911994 #77396]  INFO -- : a-brief-history-of-time-en; 0.003156; 14 chapters
I, [2024-03-17T11:08:02.913087 #77396]  INFO -- : a-city-on-mars-en; 0.001072; 7 chapters
I, [2024-03-17T11:08:02.914351 #77396]  INFO -- : a-complaint-free-world-en; 0.001241; 7 chapters
I, [2024-03-17T11:08:02.915449 #77396]  INFO -- : a-court-of-thorns-and-roses-en; 0.00108; 7 chapters
I, [2024-03-17T11:08:02.916877 #77396]  INFO -- : a-crack-in-creation-en; 0.001412; 10 chapters
I, [2024-03-17T11:08:02.917739 #77396]  INFO -- : a-cure-for-the-common-company-en; 0.000844; 9 chapters
I, [2024-03-17T11:08:37.630080 #78003]  INFO -- : 1-2-3-magic-en; 0.002089; 7 chapters
I, [2024-03-17T11:08:37.632368 #78003]  INFO -- : 10-days-to-faster-reading-en; 0.002107; 8 chapters
I, [2024-03-17T11:08:37.634234 #78003]  INFO -- : 10-leadership-virtues-for-disruptive-times-en; 0.00184; 9 chapters
I, [2024-03-17T11:08:37.636498 #78003]  INFO -- : 10-percent-happier-en; 0.00224; 9 chapters
I, [2024-03-17T11:08:37.638058 #78003]  INFO -- : 100-million-years-of-food-en; 0.001538; 9 chapters
I, [2024-03-17T11:08:37.639465 #78003]  INFO -- : 100-things-every-designer-needs-to-know-about-people-en; 0.001388; 9 chapters
I, [2024-03-17T11:08:37.640709 #78003]  INFO -- : 100-ways-to-change-your-life-en; 0.001226; 7 chapters
I, [2024-03-17T11:08:37.642224 #78003]  INFO -- : 100m-leads-en; 0.001497; 7 chapters
I, [2024-03-17T11:08:37.643586 #78003]  INFO -- : 100m-offers-en; 0.001343; 7 chapters
I, [2024-03-17T11:08:37.645936 #78003]  INFO -- : 101-essays-that-will-change-the-way-you-think-en; 0.002305; 13 chapters
I, [2024-03-17T11:08:37.647398 #78003]  INFO -- : 10x-is-easier-than-2x-en; 0.001213; 7 chapters
I, [2024-03-17T11:08:37.651968 #78003]  INFO -- : 12-months-to-1-dollars-million-en; 0.001229; 6 chapters
I, [2024-03-17T11:08:37.654701 #78003]  INFO -- : 12-rules-for-life-en; 0.002711; 14 chapters
I, [2024-03-17T11:08:37.656847 #78003]  INFO -- : 13-things-mentally-strong-parents-dont-do-en; 0.002124; 10 chapters
I, [2024-03-17T11:08:37.659825 #78003]  INFO -- : 13-things-mentally-strong-people-dont-do-en; 0.002955; 15 chapters
I, [2024-03-17T11:08:37.661928 #78003]  INFO -- : 1491-en; 0.002073; 11 chapters
I, [2024-03-17T11:08:37.663858 #78003]  INFO -- : 15-secrets-successful-people-know-about-time-management-en-kevin-kruse; 0.001895; 10 chapters
I, [2024-03-17T11:08:37.666259 #78003]  INFO -- : 168-hours-en; 0.002358; 10 chapters
I, [2024-03-17T11:08:37.667072 #78003]  INFO -- : 18-minutes-en; 0.000783; 7 chapters
I, [2024-03-17T11:08:37.669024 #78003]  INFO -- : 2030-en; 0.001923; 10 chapters
I, [2024-03-17T11:08:37.670587 #78003]  INFO -- : 21-days-to-a-big-idea-en; 0.001545; 9 chapters
I, [2024-03-17T11:08:37.672108 #78003]  INFO -- : 21-lessons-for-the-21st-century-en; 0.001502; 8 chapters
I, [2024-03-17T11:08:37.673223 #78003]  INFO -- : 21st-century-investing-en; 0.001087; 8 chapters
I, [2024-03-17T11:08:37.674548 #78003]  INFO -- : 23-things-they-dont-tell-you-about-capitalism-en; 0.001304; 12 chapters
I, [2024-03-17T11:08:37.676097 #78003]  INFO -- : 28-day-fast-start-day-by-day-en; 0.001526; 6 chapters
I, [2024-03-17T11:08:37.676932 #78003]  INFO -- : 30-lessons-for-loving-en; 0.000813; 8 chapters
I, [2024-03-17T11:08:37.677890 #78003]  INFO -- : 30-ways-to-reboot-your-body-en; 0.00094; 6 chapters
I, [2024-03-17T11:08:37.679245 #78003]  INFO -- : 5-gears-en; 0.001337; 10 chapters
I, [2024-03-17T11:08:37.680147 #78003]  INFO -- : 5-levels-of-leadership-en; 0.000883; 9 chapters
I, [2024-03-17T11:08:37.685286 #78003]  INFO -- : 5-voices-en; 0.003803; 10 chapters
